"name","neighbourhood_group","neighbourhood","room_type","price"
"Modern 1BR | Furnished + Spacious | Near Hospitals","Manhattan","Hell's Kitchen","Entire home/apt",299
"Beautiful FULL 1BD in Lower East Side!","Manhattan","Chinatown","Entire home/apt",95
"Cozy Crown Heights w/ Botanical Garden Membership","Brooklyn","Crown Heights","Entire home/apt",200
"Bedroom in artist apartment","Brooklyn","Bushwick","Private room",45
"Spacious 2 bedroom Garden apartment","Brooklyn","Clinton Hill","Entire home/apt",144
"Spacious Bedroom in the heart of Bushwick","Brooklyn","Bushwick","Private room",55
"Charming Lrg Studio w/privt.deck ½ block fro subwy","Manhattan","Upper West Side","Entire home/apt",90
"Cozy Home Away from Home in the Heart of NYC!","Manhattan","Gramercy","Private room",98
"Private Room With Queen Bed in NYC","Manhattan","East Village","Private room",80
"Private Bedroom In Brooklyn, NY","Brooklyn","Sheepshead Bay","Private room",71
"Awesome views, Central location","Manhattan","Murray Hill","Entire home/apt",269
"Spacious 2Br on UES - long terms sublet","Manhattan","Upper East Side","Entire home/apt",150
"1BR APT 25 min to Manhattan","Brooklyn","East Flatbush","Entire home/apt",100
"Large 3 bdrm apt in Manhattan (downtown) village","Manhattan","East Village","Entire home/apt",745
"Comfy Private Bedroom-JFK (8 mins)","Queens","St. Albans","Private room",66
"East Village Vision","Manhattan","East Village","Entire home/apt",249
"Modern Room in 4-BR Apartment in Ridgewood","Queens","Ridgewood","Private room",34
"Large Studio Loft Brooklyn","Brooklyn","Bedford-Stuyvesant","Entire home/apt",120
"5Subway Line Easy Access to Manhattan with Sofa","Queens","Woodside","Private room",38
"amazing 2 bedrooms, excellent location","Brooklyn","Williamsburg","Entire home/apt",110
"Your Upper East Side ""Home-Away-From-Home""","Manhattan","Upper East Side","Entire home/apt",250
"Beautiful 2 bedroom apartment in Park Slope!","Brooklyn","South Slope","Entire home/apt",150
"3 Story Artist Townhouse w Backyard Garden","Brooklyn","Bedford-Stuyvesant","Entire home/apt",199
"Beautiful High-Rise Studio Condo.","Manhattan","Midtown","Private room",600
"2 bdrm  Entire Furnished Apt.  (R)","Queens","Maspeth","Entire home/apt",134
"Charming Studio next to Central Park","Manhattan","Upper West Side","Entire home/apt",200
"New Clean Spacious Bed & Breakfast","Staten Island","Emerson Hill","Entire home/apt",76
"Bright, Sunny Room in Clinton Hill","Brooklyn","Bedford-Stuyvesant","Private room",43
"Hidden Gem - Entire Bklyn Apt","Brooklyn","Canarsie","Entire home/apt",150
"Private Room in Williamsburg!","Brooklyn","Williamsburg","Private room",135
"Private Space in a Beautiful and Safe Neighborhood","Queens","Laurelton","Entire home/apt",76
"Amazing beautiful apartment, cool area, fair price","Brooklyn","Bushwick","Private room",45
"Designer West Village Apt in Boutique building","Manhattan","West Village","Entire home/apt",260
"Loft in Williamsburg: The Fig Treehouse","Brooklyn","Williamsburg","Private room",189
"Modern Oasis bedroom in East Williamsburg","Brooklyn","Williamsburg","Private room",60
"Gorgeous, clean, room for rent.","Manhattan","Harlem","Private room",75
"Cool and cozy","Manhattan","Harlem","Private room",75
"Charming Loft","Manhattan","East Harlem","Entire home/apt",250
"Room in Nolita with great Rooftop","Manhattan","Lower East Side","Private room",79
"Sunset Park Private 2 Bedrm - 1 Car Parking Incld.","Brooklyn","Sunset Park","Entire home/apt",135
"3 bedrooms / 2 full bathroom  in Midtown West","Manhattan","Hell's Kitchen","Entire home/apt",190
"Central Park/Museum of Natural Hist","Manhattan","Upper West Side","Entire home/apt",400
"Lincoln Center 1 Bedroom Apartment","Manhattan","Upper West Side","Entire home/apt",300
"Classy Safe Furnished 1BR Apartment in Bronx NY","Bronx","Mott Haven","Entire home/apt",229
"Beautiful View of Hudson and City","Manhattan","Washington Heights","Private room",52
"2bed Williamsburg Loft w Roof Access + City Views","Brooklyn","Williamsburg","Entire home/apt",190
"Pat's Paradise  at Rockaway Beach","Queens","Rockaway Beach","Private room",53
"Lovely duplex with private terrace / rooftop","Manhattan","Upper West Side","Entire home/apt",220
"Trendy NEW ROOM in  3BR/2Bath in Greenpoint","Brooklyn","Greenpoint","Private room",50
"Hotel Room King Bed Chelsea","Manhattan","Chelsea","Private room",413
"Minimalist and peaceful room in a great location","Brooklyn","Clinton Hill","Private room",80
"Amazing Brooklyn 1Bd with Private Balcony","Brooklyn","Brownsville","Entire home/apt",150
"Spacious Private Room near train station :-)!","Manhattan","Harlem","Private room",69
"Rest Best 2","Brooklyn","East New York","Private room",63
"One bedroom apartment, bus, train, shopping","Queens","Ditmars Steinway","Entire home/apt",86
"Lucio Room#3","Queens","Richmond Hill","Private room",63
"Garden Apartment in Carroll Gardens Brownstone","Brooklyn","Carroll Gardens","Entire home/apt",195
"Awesome private room |PRIVATE BATHROOM","Brooklyn","Bedford-Stuyvesant","Private room",49
"Newly Renovated 1BR in SoHo/Nolita","Manhattan","Nolita","Entire home/apt",195
"Sunny Plant Oasis Bedroom/Balcony/Private Bathroom","Brooklyn","Bedford-Stuyvesant","Private room",89
"West Village Wonder -spacious 1 bed","Manhattan","West Village","Entire home/apt",270
"Ting Ting's Home in Heart of Brklyn","Brooklyn","Fort Greene","Entire home/apt",106
"Newly renovated studio in Prime Manhattan location","Manhattan","Chelsea","Entire home/apt",130
"Cute renovated apartment in the heart of flushing!","Queens","Flushing","Entire home/apt",112
"Renovated & clean 1 bedroom in Hamilton Heights","Manhattan","Harlem","Entire home/apt",125
"Quiet, Sunny BR in Lefferts Gardens","Brooklyn","East Flatbush","Private room",60
"Cozy Bushwick Apartment in Great Neighborhood","Brooklyn","Bushwick","Entire home/apt",75
"Comfy Private ROOM | PRIVATE BATHROOM","Brooklyn","Bedford-Stuyvesant","Private room",46
"Cozy Bohemian bedroom with private bath","Brooklyn","Bushwick","Private room",50
"Modern and Sunny Apt in East Harlem","Manhattan","East Harlem","Entire home/apt",90
"LUXURY DELUXE 2BR 2BATH -DOORMAN/GYM","Manhattan","Hell's Kitchen","Entire home/apt",550
"Single Bedroom, Semibasement Townhouse near subway","Brooklyn","Bushwick","Private room",35
"Sunny 1 bedroom In The Heart of NYC","Manhattan","Murray Hill","Private room",151
"welcoming and brightness room","Queens","Kew Gardens Hills","Private room",40
"New! Beautiful Home with Patio! Main St! Parking!","Queens","Flushing","Entire home/apt",121
"Cozy STUDIO in Astoria 15 min away from Manhattan!","Queens","Astoria","Entire home/apt",75
"Cozy room in Bushwick, Dekalb L train, Backyard!","Brooklyn","Bushwick","Private room",47
"Lovely NEW ROOM in Greenpoint","Brooklyn","Greenpoint","Private room",48
"Adorable One Bedroom in Greenpoint","Brooklyn","Greenpoint","Entire home/apt",120
"Cedar Condo","Brooklyn","Bushwick","Entire home/apt",400
"“Work-from-home” from OUR home.","Brooklyn","Williamsburg","Private room",79
"Beautiful LARGE 1BDR Apt in the Heart of Manhattan","Manhattan","Upper West Side","Entire home/apt",250
"Beautiful, Quiet, Spacious 1BR - UWS by parks","Manhattan","Upper West Side","Entire home/apt",165
"Room in duplex  w/sep. bathroom, close to J train","Brooklyn","Bedford-Stuyvesant","Private room",60
"One Bedroom with kids room / office","Bronx","Spuyten Duyvil","Entire home/apt",100
"Fashion Blvd Flat 20 minutes from City Center!","Bronx","Mott Haven","Private room",45
"BRIGHT & BIG 2bed 2bath in luxury amenity building","Manhattan","Midtown","Entire home/apt",209
"Manhattan very spacious beautiful room.","Manhattan","Harlem","Private room",47
"A+ Location Classic Queen Studio (Queen Bed)","Manhattan","Midtown","Entire home/apt",174
"Beautiful room in luxury 2 bedroom loft apt","Brooklyn","Bushwick","Private room",80
"Home very relaxing, 63”  TV. Shopping area nearby.","Queens","Woodhaven","Private room",49
"*NEWLY RENOVATED PRIVATE ROOM*","Queens","Elmhurst","Private room",58
"Private studio! Thoroughly disinfected 1A","Brooklyn","Bushwick","Entire home/apt",63
"Nice 2 bedroom and 2 bathroom Apartment","Manhattan","Chinatown","Entire home/apt",399
"Beautiful private Brooklyn room with kitchenette","Brooklyn","Bedford-Stuyvesant","Private room",40
"Feel like home - Aberdeen St. 2","Brooklyn","Bushwick","Private room",59
"Holiday special! Best location!","Manhattan","Hell's Kitchen","Entire home/apt",189
"Luxurious Midtown Condo with Gym - Long Term Stay","Manhattan","Midtown","Entire home/apt",160
"Chinatown Private room with a desk","Manhattan","Lower East Side","Private room",95
"Bedstuy is the best, where I rest my chest","Brooklyn","Bedford-Stuyvesant","Entire home/apt",150
"Charming Studio in the heart of the East Village","Manhattan","East Village","Entire home/apt",105
"These Streets Will Make You Feel Brand New","Manhattan","Morningside Heights","Private room",46
"Cozy Ensuite Private Bath","Staten Island","New Brighton","Private room",41
"Spacious 1 bedroom Pre War on Central Park","Manhattan","Upper West Side","Entire home/apt",230
"Stylish Modern Chelsea One Bedroom","Manhattan","Chelsea","Entire home/apt",308
"Renovated 2 Rooms with balcony and ensuite bath","Brooklyn","Windsor Terrace","Private room",40
"Cozy Room in Duplex with Private Outdoor Area","Manhattan","East Village","Private room",109
"Luxurious room Near JFK","Queens","South Ozone Park","Private room",70
"Cozy private room, 10 mins away from Central Park!","Manhattan","East Harlem","Private room",150
"Central Park North , 2 Bedroom 1 bath","Manhattan","Harlem","Entire home/apt",214
"Great place Manhattan - Upper west side -","Manhattan","Upper West Side","Private room",150
"Magical 3-bed/3-bath fabulous views","Brooklyn","Greenpoint","Entire home/apt",350
"Gorgeous 2 bedroom apt in Ditmas Park
1300 ft.²","Brooklyn","Flatbush","Entire home/apt",180
"L.A.J Laughter & Joy  Rest  Spot ( 1 )","Brooklyn","Prospect-Lefferts Gardens","Private room",69
"Private room near Columbia University","Manhattan","Morningside Heights","Private room",75
"**Stylish, Quiet, Centrally Located (9th & 52nd)","Manhattan","Hell's Kitchen","Private room",175
"Bright Sanctuary in Williamsburg","Brooklyn","Williamsburg","Private room",88
"Cozy Room in Greenpoint","Brooklyn","Greenpoint","Private room",57
"Main st APT w PRIVATE Bath, bedroom, living room.","Queens","Flushing","Entire home/apt",149
"Midtown 45 Two-Bedroom Prime location w/rooftop","Manhattan","Midtown","Entire home/apt",1999
"Private 1st level studio near NYC","Brooklyn","Borough Park","Entire home/apt",84
"Mid century comfort","Manhattan","East Village","Entire home/apt",65
"Heavenly Hell's Kitchen private room in 2bdrm","Manhattan","Hell's Kitchen","Private room",108
"Charming Hideout by the East River","Manhattan","Stuyvesant Town","Private room",80
"BIG BEDROOM CLOSE TO LA GUARDIA AIRPORT FREE WIFI","Queens","East Elmhurst","Private room",60
"Bright and Cozy Brooklyn Retreat","Brooklyn","Flatbush","Entire home/apt",165
"GSG Inn - A totally private historic landmark inn","Staten Island","St. George","Entire home/apt",125
"Private room. 1 bed, 2 guests, 3333 Broadway","Manhattan","Harlem","Private room",40
"Private room affordable and spacious!","Manhattan","Washington Heights","Private room",89
"Bedroom and bathroom in the heart of Williamsburg","Brooklyn","Williamsburg","Private room",135
"New York Highrise","Manhattan","Greenwich Village","Private room",33
"Beautiful one bedroom","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",120
"Shared Room For Cool Low Maintenance People #3","Brooklyn","Bushwick","Shared room",20
"LES Duplex Penthouse with Private Rooftop Terrace","Manhattan","East Village","Private room",200
"Comfortable Room","Brooklyn","Bushwick","Private room",145
"Relax for 12 . Luxury Duplex Your group deserves","Manhattan","Washington Heights","Shared room",656
"Home Sweet Home","Brooklyn","Flatbush","Private room",80
"Modern, Spacious 2BR Apartment","Manhattan","Washington Heights","Entire home/apt",139
"One room in a 4 bedroom apaprtment.","Manhattan","Harlem","Private room",45
"Gorgeous, instagrammable escape in The Bronx, NY","Bronx","Parkchester","Entire home/apt",159
"Lower East Side Oasis","Manhattan","Lower East Side","Entire home/apt",264
"Apt in Heart of Hell's Kichen","Manhattan","Hell's Kitchen","Private room",80
"Private Bathroom with Private Entrance Door","Brooklyn","Borough Park","Private room",55
"Clean large 1bdr in the heart of East Village","Manhattan","East Village","Entire home/apt",175
"Lugar  acogedor y tranquilo","Queens","Astoria","Private room",69
"Posh Upper West 2 BR w/ Doorman","Manhattan","Morningside Heights","Entire home/apt",290
"Huge Sunny Room in UES Townhouse","Manhattan","Upper East Side","Private room",175
"The Prospect Sterling - Suite Sophistication","Brooklyn","Prospect-Lefferts Gardens","Entire home/apt",391
"New York City- Riverdale Modern two bedrooms unit","Bronx","Spuyten Duyvil","Entire home/apt",129
"Beautiful communal house Bushwick","Brooklyn","Bushwick","Private room",31
"Comfy private room in loft apartment","Brooklyn","Bushwick","Private room",80
"Cozy sun-soaked bedroom in Harlem","Manhattan","Harlem","Private room",70
"2 Bedroom modern apartment, metro nearby a GEM! 2B","Brooklyn","Bushwick","Entire home/apt",101
"Cozy Private Room in Upper Manhattan","Manhattan","Harlem","Private room",65
"Feel like home! Cozy room in queens, Well located.","Queens","Kew Gardens","Private room",76
"Heart of SOHO - Newly Furnished, Comfy 3BR APT","Manhattan","Nolita","Entire home/apt",328
"Sunny Cosy Private Room Hell's Kitchen & Broadway","Manhattan","Midtown","Private room",90
"Spanish Harlem urban hang Suite","Manhattan","East Harlem","Entire home/apt",125
"Classic Brooklyn Apartment","Brooklyn","Bay Ridge","Entire home/apt",125
"Boho 1 bed apt in BK brownstone with back yard","Brooklyn","Clinton Hill","Entire home/apt",130
"Harlem comfort","Manhattan","Harlem","Entire home/apt",233
"Room in Luxury Apt, Williamsburg","Brooklyn","Williamsburg","Private room",100
"Beautiful Private House w/Garage in Ditmar/Astoria","Queens","Ditmars Steinway","Entire home/apt",200
"Private house by the Beach. Perfect for family!","Queens","Far Rockaway","Entire home/apt",299
"Sunny room","Manhattan","East Harlem","Private room",45
"Cleo's Royale","Manhattan","Inwood","Private room",106
"Private room w/private bathroom near Central Park!","Manhattan","Upper East Side","Private room",89
"Charming West Village 2.5bd Apt","Manhattan","West Village","Entire home/apt",300
"Cozy GetAway In Midtown BA 311","Manhattan","Midtown","Private room",129
"Spacious 2 bedrooms in the heart of Brooklyn","Brooklyn","Flatbush","Private room",60
"Harlem Peace Quarters","Manhattan","Harlem","Private room",72
"Cozy Studio in Queens zZZ","Queens","Woodside","Entire home/apt",99
"Manhattan LUX entire home ROOFTOP pool","Manhattan","Financial District","Entire home/apt",271
"1 bedroom in 3 bedroom apartment","Brooklyn","Bedford-Stuyvesant","Private room",38
"Sunny BK room with Queen Bed, Large TV+Office+Gym!","Brooklyn","Bedford-Stuyvesant","Private room",70
"Convenient room in Manhattan close to Central Park","Manhattan","Morningside Heights","Private room",45
"Private Room & Bathroom Close To Everything","Manhattan","Upper West Side","Private room",61
"Sun-Drenched Luxury Studio with Private Patio","Manhattan","Gramercy","Entire home/apt",109
"1 Bed Room BEST LOCATION EPIC VIEWS","Manhattan","Hell's Kitchen","Entire home/apt",304
"Chic, light-filled Sugar Hill 1 bedroom","Manhattan","Harlem","Entire home/apt",92
"Lovely room in 2 Bedroom Apt, Heart of Astoria","Queens","Astoria","Private room",68
